0 0 0
0 1 60
0 2 120
0 3 180
0 4 240
0 5 300
0 6 360
0 7 420
0 8 480
0 9 540
0 10 600
0 11 660
0 12 720
0 13 780
0 14 840
0 15 900
0 16 960
0 17 1020
0 18 1080
0 19 1140
0 20 1200
0 21 1260
0 22 1320
0 23 1380
0 24 1440
0 25 1500
0 26 1560
0 27 1620
0 28 1680
0 29 1740
0 30 1800
0 31 1860
0 32 1920
0 33 1980
0 34 2040
0 35 2100
0 36 2160
0 37 2220
0 38 2280
0 39 2340
0 40 2400
0 41 2460
0 42 2520
0 43 2580
0 44 2640
0 45 2700
0 46 2760
0 47 2820
0 48 2880
0 49 2940
0 50 3000
0 51 3060
0 52 3120
0 53 3180
0 54 3240
0 55 3300
0 56 3360
0 57 3420
0 58 3480
0 59 3540
0 60 3600
0 61 3660
0 62 3720
0 63 3780
0 64 3840
0 65 3900
0 66 3960
0 67 4020
0 68 4080
0 69 4140
0 70 4200
0 71 4260
1 0 143
1 1 203
1 2 263
1 3 323
1 4 383
1 5 443
1 6 503
1 7 563
1 8 623
1 9 683
1 10 743
1 11 803
1 12 863
1 13 923
1 14 983
1 15 1043
1 16 1103
1 17 1163
1 18 1223
1 19 1283
1 20 1343
1 21 1403
1 22 1463
1 23 1523
1 24 1583
1 25 1643
1 26 1703
1 27 1763
1 28 1823
1 29 1883
1 30 1943
1 31 2003
1 32 2063
1 33 2123
1 34 2183
1 35 2243
1 36 2303
1 37 2363
1 38 2423
1 39 2483
1 40 2543
1 41 2603
1 42 2663
1 43 2723
1 44 2783
1 45 2843
1 46 2903
1 47 2963
1 48 3023
1 49 3083
1 50 3143
1 51 3203
1 52 3263
1 53 3323
1 54 3383
1 55 3443
1 56 3503
1 57 3563
1 58 3623
1 59 3683
1 60 3743
1 61 3803
1 62 3863
1 63 3923
1 64 3983
1 65 4043
1 66 4103
1 67 4163
1 68 4223
1 69 4283
1 70 4343
2 0 286
2 1 346
2 2 406
2 3 466
2 4 526
2 5 586
2 6 646
2 7 706
2 8 766
2 9 826
2 10 886
2 11 946
2 12 1006
2 13 1066
2 14 1126
2 15 1186
2 16 1246
2 17 1306
2 18 1366
2 19 1426
2 20 1486
2 21 1546
2 22 1606
2 23 1666
2 24 1726
2 25 1786
2 26 1846
2 27 1906
2 28 1966
2 29 2026
2 30 2086
2 31 2146
2 32 2206
2 33 2266
2 34 2326
2 35 2386
2 36 2446
2 37 2506
2 38 2566
2 39 2626
2 40 2686
2 41 2746
2 42 2806
2 43 2866
2 44 2926
2 45 2986
2 46 3046
2 47 3106
2 48 3166
2 49 3226
2 50 3286
2 51 3346
2 52 3406
2 53 3466
2 54 3526
2 55 3586
2 56 3646
2 57 3706
2 58 3766
2 59 3826
2 60 3886
2 61 3946
2 62 4006
2 63 4066
2 64 4126
2 65 4186
2 66 4246
2 67 4306
2 68 4366
2 69 4426
2 70 4486
3 0 429
3 1 489
3 2 549
3 3 609
3 4 669
3 5 729
3 6 789
3 7 849
3 8 909
3 9 969
3 10 1029
3 11 1089
3 12 1149
3 13 1209
3 14 1269
3 15 1329
3 16 1389
3 17 1449
3 18 1509
3 19 1569
3 20 1629
3 21 1689
3 22 1749
3 23 1809
3 24 1869
3 25 1929
3 26 1989
3 27 2049
3 28 2109
3 29 2169
3 30 2229
3 31 2289
3 32 2349
3 33 2409
3 34 2469
3 35 2529
3 36 2589
3 37 2649
3 38 2709
3 39 2769
3 40 2829
3 41 2889
3 42 2949
3 43 3009
3 44 3069
3 45 3129
3 46 3189
3 47 3249
3 48 3309
3 49 3369
3 50 3429
3 51 3489
3 52 3549
3 53 3609
3 54 3669
3 55 3729
3 56 3789
3 57 3849
3 58 3909
3 59 3969
3 60 4029
3 61 4089
3 62 4149
3 63 4209
3 64 4269
3 65 4329
3 66 4389
3 67 4449
3 68 4509
3 69 4569
4 0 572
4 1 632
4 2 692
4 3 752
4 4 812
4 5 872
4 6 932
4 7 992
4 8 1052
4 9 1112
4 10 1172
4 11 1232
4 12 1292
4 13 1352
4 14 1412
4 15 1472
4 16 1532
4 17 1592
4 18 1652
4 19 1712
4 20 1772
4 21 1832
4 22 1892
4 23 1952
4 24 2012
