 1.0000000000  0.0588235294
 0.9951847267  0.0593602782
 0.9807852804  0.0610089554
 0.9569403357  0.0638905911
 0.9238795325  0.0682274643
 0.8819212643  0.0743795157
 0.8314696123  0.0829086513
 0.7730104534  0.0946904904
 0.7071067812  0.1111111111
 0.6343932842  0.1344216572
 0.5555702330  0.1683917690
 0.4713967368  0.2195178532
 0.3826834324  0.2991194745
 0.2902846773  0.4258502875
 0.1950903220  0.6215180462
 0.0980171403  0.8667631179
 0.0000000000  1.0000000000
-0.0980171403  0.8667631179
-0.1950903220  0.6215180462
-0.2902846773  0.4258502875
-0.3826834324  0.2991194745
-0.4713967368  0.2195178532
-0.5555702330  0.1683917690
-0.6343932842  0.1344216572
-0.7071067812  0.1111111111
-0.7730104534  0.0946904904
-0.8314696123  0.0829086513
-0.8819212643  0.0743795157
-0.9238795325  0.0682274643
-0.9569403357  0.0638905911
-0.9807852804  0.0610089554
-0.9951847267  0.0593602782
-1.0000000000  0.0588235294
